path,text
/Users/ganeshmarpuri/development/synthetic_image generation/output/Geneva_63332.png,perichete
/Users/ganeshmarpuri/development/synthetic_image generation/output/SFNSMono_97609.png,lupine
/Users/ganeshmarpuri/development/synthetic_image generation/output/SFCompact_56652.png,Unseam juckies bellwood citromyces?
/Users/ganeshmarpuri/development/synthetic_image generation/output/NewYork_90975.png,eudaemonia
/Users/ganeshmarpuri/development/synthetic_image generation/output/SFNSMonoItalic_52131.png,Forestage wheezingly amtman saluki unwitted roomlet feudatory!
/Users/ganeshmarpuri/development/synthetic_image generation/output/SFNS_92852.png,"$h =L<8,VeU"
/Users/ganeshmarpuri/development/synthetic_image generation/output/Monaco_77227.png,6_(K/]\ojLYPq<
/Users/ganeshmarpuri/development/synthetic_image generation/output/Apple Symbols_47082.png,nononerous
/Users/ganeshmarpuri/development/synthetic_image generation/output/NewYorkItalic_86589.png,Protozoon retimber phototrope.
/Users/ganeshmarpuri/development/synthetic_image generation/output/SFCompactItalic_81728.png,shunner
/Users/ganeshmarpuri/development/synthetic_image generation/output/SFNSRounded_86657.png,",4_3%?cF"
/Users/ganeshmarpuri/development/synthetic_image generation/output/SFCompactRounded_29651.png,pigdom
/Users/ganeshmarpuri/development/synthetic_image generation/output/SFNSItalic_64670.png,}fe~|Hp7j-<i
/Users/ganeshmarpuri/development/synthetic_image generation/output/Webdings_48765.png,z'^r@(Q'pYyG
/Users/ganeshmarpuri/development/synthetic_image generation/output/Zapfino_42535.png,backboard
/Users/ganeshmarpuri/development/synthetic_image generation/output/Trebuchet MS Italic_90425.png,Z.rj*]8lJI3qv
/Users/ganeshmarpuri/development/synthetic_image generation/output/Georgia_61271.png,spried
/Users/ganeshmarpuri/development/synthetic_image generation/output/Verdana Bold_38192.png,carnosity
/Users/ganeshmarpuri/development/synthetic_image generation/output/Bodoni 72 Smallcaps Book_73870.png,8OE2) o=`J
/Users/ganeshmarpuri/development/synthetic_image generation/output/Times New Roman Bold Italic_19694.png,Protobasidii sinologist gramineous zouave?
/Users/ganeshmarpuri/development/synthetic_image generation/output/Silom_71331.png,dehepatize
/Users/ganeshmarpuri/development/synthetic_image generation/output/Verdana Italic_75803.png,Unpledged slavic scofflaw digitinerved!
/Users/ganeshmarpuri/development/synthetic_image generation/output/Times New Roman Italic_86727.png,[J(y`gqw5p]oW14
/Users/ganeshmarpuri/development/synthetic_image generation/output/Bradley Hand Bold_77494.png,SG) -
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial Narrow Italic_55382.png,Solicitant inwit monoid?
/Users/ganeshmarpuri/development/synthetic_image generation/output/AppleGothic_85091.png,Siwash
/Users/ganeshmarpuri/development/synthetic_image generation/output/STIXTwoText-Italic_85579.png,Sectionalism arriswise informant guadagnini cissoidal bollandist phlegmatous!
/Users/ganeshmarpuri/development/synthetic_image generation/output/DIN Condensed Bold_55771.png,Postnaris brahmaic perique palingenetic!
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial Bold_57468.png,"PdP8P2K)F]_""*>"
/Users/ganeshmarpuri/development/synthetic_image generation/output/Trebuchet MS_58627.png,Unlovely clapboard trull unelidible solvency freelovism enterogram?
/Users/ganeshmarpuri/development/synthetic_image generation/output/Trattatello_31495.png,Merman manzana salthouse truelove.
/Users/ganeshmarpuri/development/synthetic_image generation/output/BigCaslon_83159.png,mucluc
/Users/ganeshmarpuri/development/synthetic_image generation/output/Courier New Bold_74281.png,l'c64By
/Users/ganeshmarpuri/development/synthetic_image generation/output/Lao Sangam MN_89516.png,Prebeleve piscataqua keg epiblema!
/Users/ganeshmarpuri/development/synthetic_image generation/output/Luminari_49654.png,Kirkyard torporize unwhirled petter?
/Users/ganeshmarpuri/development/synthetic_image generation/output/Times New Roman_66359.png,Acadian
/Users/ganeshmarpuri/development/synthetic_image generation/output/Brush Script_26303.png,}ppF0(X<
/Users/ganeshmarpuri/development/synthetic_image generation/output/Georgia Italic_65394.png,Relacquer webfooter cyclopy?
/Users/ganeshmarpuri/development/synthetic_image generation/output/Courier New Italic_94159.png,Mars keyseater debarrass immusical prereject paneling admedian.
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial Unicode_28254.png,'9Tx
/Users/ganeshmarpuri/development/synthetic_image generation/output/Chalkduster_92397.png,closen
/Users/ganeshmarpuri/development/synthetic_image generation/output/Apple Chancery_53251.png,Gestatorial husbandship amphilogy caupones overdramatic tenorister?
/Users/ganeshmarpuri/development/synthetic_image generation/output/AppleMyungjo_99819.png,"_rN/f""^d_K3f"
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial Narrow Bold Italic_98773.png,Hirundinidae axseed arachnida!
/Users/ganeshmarpuri/development/synthetic_image generation/output/Arial Narrow_38607.png,Oz?;w
/Users/ganeshmarpuri/development/synthetic_image generation/output/Courier New_95286.png,[S{sTa0s
/Users/ganeshmarpuri/development/synthetic_image generation/output/Wingdings 3_39305.png,Iamb egyptologer recumbent monotremata scrimer!
/Users/ganeshmarpuri/development/synthetic_image generation/output/Wingdings 2_40181.png,"Wr)H~/E^*kXd"""
/Users/ganeshmarpuri/development/synthetic_image generation/output/STIXTwoText_10823.png,Eupittonic sauropsidian amyrin antigone dextrogyrous cados bepurple
/Users/ganeshmarpuri/development/synthetic_image generation/output/Skia_38274.png,antireligion
/Users/ganeshmarpuri/development/synthetic_image generation/output/Trebuchet MS Bold Italic_13908.png,:F4\Xn(
